feature_name,included_flag,feature_family,trainability_status,imputation_policy,missingness_flag_created,encoding_policy,transform_policy,model_ready_dtype,selection_reason,exclusion_reason
feature_promo_history_evidence_strength,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_sparse_history_penalty,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_order_evidence_quality_score,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_overallocation_risk_score,YES,feature_engineered,MODEL_READY,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,trainability_MODEL_READY,
feature_historical_comparable_promo_event_count,NO,feature_historical,BLOCK_ALL_ZERO,KEEP_NAN_NOT_ZERO,NO,NONE,none,float64,,DROP_ALL_ZERO_PLACEHOLDER
feature_historical_zero_sale_after_buy_rate,NO,feature_historical,BLOCK_LEAKAGE_RISK,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,BLOCK_LEAKAGE_RISK_FIELD
feature_same_discount_success_rate_56d,NO,feature_engineered,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
feature_historical_trapped_capital_rate,NO,feature_historical,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
feature_historical_sell_through_on_accepted_qty,NO,feature_historical,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
feature_historical_overforecast_bias,NO,feature_historical,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
feature_historical_allocation_efficiency_rate,NO,feature_historical,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
feature_historical_overallocation_above_floor_rate,NO,feature_historical,BLOCK_FULLY_MISSING,KEEP_UNKNOWN_OR_NAN,YES,NONE,none,float64,,REPAIR_JOIN_OR_DROP
