store_number,promotion_id,sku_number,department,long_tail_sku_flag,mission_sku_flag,actual_units_sold_promo,model_expected_units_total_promo_raw,model_expected_units_total_promo_calibrated,segment_calibrated_expected_units,segment_bias_factor,segment_bias_factor_source,segment_calibration_eligible_flag,segment_calibration_allowed_flag,requires_human_approval_flag
772,772|10513|2025-11-13|2025-11-26|772-10513-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10513,FOOTCARE,0.0,NO,0.0,0.053,0.052499,0.069721,1.328053,phase6a_segment:FOOTCARE|0.0,NO,NO,YES
772,772|10516|2025-11-13|2025-11-26|772-10516-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,10516,FOOTCARE,0.0,NO,0.0,0.053,0.052499,0.069721,1.328053,phase6a_segment:FOOTCARE|0.0,NO,NO,YES
772,772|11008|2025-11-13|2025-11-26|772-11008-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11008,SKINCARE,0.0,NO,2.0,1.4,2.429477,4.008637,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|115892|2025-11-13|2025-11-26|772-115892-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,115892,FRAGRANCE,0.0,NO,0.0,0.032,0.047443,0.055955,1.179425,phase6a_segment:FRAGRANCE|0.0,NO,NO,YES
772,772|115912|2025-11-13|2025-11-26|772-115912-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,115912,HAIRCARE,0.0,NO,4.0,0.933,1.43439,2.028844,1.41443,phase6a_segment:HAIRCARE|0.0,NO,NO,YES
772,772|116646|2025-11-13|2025-11-26|772-116646-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,116646,COLOUR COSMETICS,0.0,NO,0.0,0.032,0.037105,0.053937,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|116671|2025-11-13|2025-11-26|772-116671-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,116671,COLOUR COSMETICS,0.0,NO,1.0,0.002,0.002319,0.003371,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|116745|2025-11-13|2025-11-26|772-116745-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,116745,COLOUR COSMETICS,0.0,NO,2.0,1.4,1.623325,2.359725,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|116900|2025-11-13|2025-11-26|772-116900-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,116900,COLOUR COSMETICS,0.0,NO,0.0,0.032,0.037105,0.053937,1.453637,phase6a_segment:COLOUR COSMETICS|0.0,NO,NO,YES
772,772|11815|2025-11-13|2025-11-26|772-11815-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11815,SKINCARE,0.0,NO,2.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11822|2025-11-13|2025-11-26|772-11822-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11822,SKINCARE,0.0,NO,2.0,1.81,3.140967,5.182596,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11831|2025-11-13|2025-11-26|772-11831-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11831,SKINCARE,0.0,NO,4.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11833|2025-11-13|2025-11-26|772-11833-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11833,SKINCARE,0.0,NO,1.0,1.244,2.158764,3.561961,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11838|2025-11-13|2025-11-26|772-11838-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11838,SKINCARE,0.0,NO,16.0,2.053,3.562655,5.878381,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11859|2025-11-13|2025-11-26|772-11859-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11859,SKINCARE,0.0,NO,5.0,2.64,4.5813,7.559145,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11862|2025-11-13|2025-11-26|772-11862-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11862,SKINCARE,0.0,NO,17.0,2.178,3.779573,6.236295,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|118832|2025-11-13|2025-11-26|772-118832-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,118832,BEAUTY ACCESSORIES,0.0,NO,1.0,2.333,2.586156,3.23006,1.248981,phase6a_segment:BEAUTY ACCESSORIES|0.0,NO,NO,YES
772,772|11895|2025-11-13|2025-11-26|772-11895-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11895,SKINCARE,0.0,NO,2.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|11896|2025-11-13|2025-11-26|772-11896-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,11896,SKINCARE,0.0,NO,1.0,0.095,0.164857,0.272014,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|12004|2025-11-13|2025-11-26|772-12004-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,12004,SKINCARE,0.0,NO,10.0,2.533,4.395619,7.252771,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|12005|2025-11-13|2025-11-26|772-12005-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,12005,SKINCARE,0.0,NO,5.0,2.567,4.45462,7.350123,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|12006|2025-11-13|2025-11-26|772-12006-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,12006,SKINCARE,0.0,NO,5.0,4.256,7.385611,12.186258,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
