promotion_row_key,source_training_slice,store_number,sku_number,promotion_name,department,category,inferred_supplier_number,realized_sales_units,target_actual_units_sold,sufficient_stock_demand_units_target,target_quality_label,target_weight,target_repair_basis,target_warning,stock_integrity_issue_flag
772|15719|2025-12-11|2025-12-24|772-15719-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15719,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15727|2025-12-11|2025-12-24|772-15727-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15727,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15733|2025-12-11|2025-12-24|772-15733-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15733,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,6.0,6.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15736|2025-12-11|2025-12-24|772-15736-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15736,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,6.0,6.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15769|2025-12-11|2025-12-24|772-15769-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15769,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15777|2025-12-11|2025-12-24|772-15777-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15777,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15826|2025-12-11|2025-12-24|772-15826-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15826,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15834|2025-12-11|2025-12-24|772-15834-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15834,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,3.0,3.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15839|2025-12-11|2025-12-24|772-15839-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15839,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15840|2025-12-11|2025-12-24|772-15840-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15840,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15841|2025-12-11|2025-12-24|772-15841-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15841,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15842|2025-12-11|2025-12-24|772-15842-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15842,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|15844|2025-12-11|2025-12-24|772-15844-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,15844,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,NYX,3707,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
