sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
62471,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
194019,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
70363,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
96610,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
71550,0,1,-1,0.0,4,4,0,1,1,0,3.0,42.0
333751,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
60649,0,1,-1,0.0,5,5,0,1,1,0,0.0107,0.1498
20146,0,1,-1,0.0,6,6,0,1,1,0,0.0021,0.0294
96451,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
96457,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
194043,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
943282,0,1,-1,0.0,16,16,0,1,1,0,1.0,14.0
15840,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
92926,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
88066,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
94694,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
89055,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
88904,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
189516,0,1,-1,0.0,6,6,0,1,1,0,0.0021,0.0294
73745,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
88118,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
95606,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
15826,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
94947,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
937053,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
94704,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
46906,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
56564,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
19798,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
43528,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
195770,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
95051,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
90045,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
854247,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
63573,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
90063,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
96611,0,1,-1,0.0,5,5,0,1,1,0,0.0021,0.0294
96615,0,1,-1,0.0,5,5,0,1,1,0,0.0021,0.0294
96643,0,1,-1,0.0,6,6,0,1,1,0,2.0,28.0
