sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,reason_short,audit_notes
187753,Garn Olia Int Deep Red 4.62,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$25.58; risk_reward=0.49; sku_bias=NO_COMPARABLE_EVENTS
196003,May Build A Brow 255 Soft,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=60; capital_risk=$19.49; risk_reward=0.50; sku_bias=NO_COMPARABLE_EVENTS
521062,May L/S Superstay Cont Coral,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=63; capital_risk=$16.77; risk_reward=0.54; sku_bias=NO_COMPARABLE_EVENTS
66096,Rexona M Apd Adv C/Clns 220Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$11.99; risk_reward=0.46; sku_bias=NO_COMPARABLE_EVENTS
195987,May Tat Liner Gel Penc Midmoc,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,6,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=5; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$11.03; risk_reward=0.61; sku_bias=NO_COMPARABLE_EVENTS
56175,Estee Beautiful Belle Edp 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$191.37; risk_reward=0.37; sku_bias=NO_COMPARABLE_EVENTS
51564,Issey Miyake P/Homme Edt 75Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$98.93; risk_reward=0.44; sku_bias=NO_COMPARABLE_EVENTS
644419,J/Choo Edt 40Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=54; capital_risk=$69.01; risk_reward=0.45; sku_bias=NO_COMPARABLE_EVENTS
97997,Rim Wndrbnd Brw Tnt L/Brwn,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=25; capital_risk=$28.92; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
199134,Hada Labo Mens Aaging Crm 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,5,Forecast requires manager review.,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=4; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$27.58; risk_reward=0.57; sku_bias=NO_COMPARABLE_EVENTS
