sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
94247,Jojoba Boost Skin Barrier Sup,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,4,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$33.17; risk_reward=0.64; sku_bias=NO_COMPARABLE_EVENTS
64520,Gdy Semi Ex Girl Pink 148Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,4,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$20.26; risk_reward=0.48; sku_bias=NO_COMPARABLE_EVENTS
67095,Bondi/S Sport Spf50+ Lot 150Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,4,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=42; capital_risk=$13.48; risk_reward=0.57; sku_bias=NO_COMPARABLE_EVENTS
190280,Pl Elastics Thick Blonde 10Pk,NO_DEMAND,REVIEW,0,1,4,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$1.66; risk_reward=0.49; sku_bias=NO_COMPARABLE_EVENTS
199013,Esi Gel Co 553 Pinky Ring,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,4,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=3; provisional_units=0; final_units=0; confidence_pct=55; capital_risk=$1.05; risk_reward=0.55; sku_bias=NO_COMPARABLE_EVENTS
94984,Giorgio Armani Si Parfum 100Ml,NO_DEMAND,REVIEW,0,1,3,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$502.10; risk_reward=0.39; sku_bias=NO_COMPARABLE_EVENTS
93909,D&G Light Blue Edt 100Ml 25,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Governed discount conflicts with price-derived discount; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=54; capital_risk=$100.34; risk_reward=1.10; sku_bias=NO_COMPARABLE_EVENTS
94499,Coach Man Minis P4.5 4P Gs 25,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$68.04; risk_reward=0.82; sku_bias=NO_COMPARABLE_EVENTS
194402,Swiish Glow Marine Collgn 135G,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=Forecast requires manager review; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=48; capital_risk=$50.92; risk_reward=0.79; sku_bias=NO_COMPARABLE_EVENTS
94040,No7 P&P Ints Adv Serum 50Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$39.83; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
