sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
199044,0.0,SUNCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.4,25.9,194,-19.964,-0.832,VERY_LOW,4.365,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-76,economic_value_major_downgrade
92642,0.0,SUNCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.4,25.9,195,-19.935,-0.831,VERY_LOW,4.394,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-75,economic_value_major_downgrade
94921,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,25.2,25.9,196,-17.775,-0.741,VERY_LOW,35.082,0.0,0.963,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,113,economic_roi_major_uplift
11494,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,11.4,25.9,197,58.048,3.628,LOW,30.268,0.0,0.174,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1610,economic_roi_major_uplift
21964,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.3,25.9,198,-23.059,-0.961,VERY_LOW,1.284,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-45,economic_value_downgrade
188990,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,20.9,25.9,199,48.141,2.006,LOW,12.611,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,426,economic_roi_major_uplift
91442,0.0,HAIRCARE,unknown,STANDARD_RUN_DOWN_REVIEW,22.8,25.9,200,-11.345,-0.709,VERY_LOW,32.753,0.0,1.033,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,229,economic_roi_major_uplift
5446,0.0,FOOTCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,30.7,25.9,201,-20.399,-0.85,VERY_LOW,4.037,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-94,economic_value_major_downgrade
92260,0.0,BATH TOILETRIES,unknown,HIGH_PRIORITY_BUY_REVIEW,31.0,25.9,202,-21.255,-0.886,VERY_LOW,3.159,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-108,economic_value_major_downgrade
90155,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,28.5,25.8,203,-27.911,-1.163,VERY_LOW,0.0,-0.0,0.909,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-29,economic_value_downgrade
195081,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,26.3,25.8,204,-8.415,-0.351,VERY_LOW,29.478,0.0,1.339,AGGRESSIVE_BUY,AGGRESSIVE_BUY,61,economic_roi_major_uplift
188745,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25.6,25.8,205,-13.919,-0.58,VERY_LOW,15.232,0.0,0.798,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,83,economic_roi_major_uplift
194045,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,31.4,25.8,206,-15.856,-0.661,VERY_LOW,11.26,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-133,economic_value_major_downgrade
47723,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,25.8,207,-16.437,-0.685,VERY_LOW,10.282,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-63,economic_value_major_downgrade
56483,0.0,SUNCARE,unknown,STANDARD_RUN_DOWN_REVIEW,24.2,25.8,208,-16.421,-1.026,VERY_LOW,8.175,0.0,1.044,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,145,economic_roi_major_uplift
38436,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,25.2,25.8,209,-17.266,-0.719,VERY_LOW,17.482,0.0,1.457,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,101,economic_roi_major_uplift
