sku_number,promotion_name,raw,calibrated,policy_adjusted,feature_consensus,ratio_cal_over_raw,ratio_pol_over_cal,ratio_pol_over_raw,policy_adjustment_reason,department,category,supplier,forecast_source_used,forecast_source_raw_units,selected_demand_units,promo_window_demand_units
53928,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,0.3125,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,required_implied_units,0.0315,1,1
645745,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.125,1.0,1.0,1.0,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,baseline_expected_units,7.0,1,1
96445,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.5,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,0.0161,1,1
95697,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.50000025,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,required_implied_units,0.0161,1,1
193612,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,BATH TOILETRIES,PERSONAL WASH,0,predicted_units_sold,0.0369457470499325,1,1
667998,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,6.25e-08,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,COLOUR COSMETICS,ESSIE,0,predicted_units_sold,0.0369457470499325,1,1
916730,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0147,0.0147,0.2352941176470588,0.2785164957171654,1.0,0.2785164957171654,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,baseline_expected_units,0.0147,1,1
193206,Allocation Report - SE01 SKINCARE SALES EVENT,0.0616250444880151,0.0031733333333333,0.0031733333333333,2.0454545454545454,0.05149421569911326,1.0,0.05149421569911326,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,0.0475999999999999,1,1
31192,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,3.0,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,SKINCARE,LIP CARE,0,required_implied_units,0.0315,1,1
27929,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0147,0.0147,0.1875,0.2785164957171654,1.0,0.2785164957171654,weak_elasticity_uplift_restraint,COLOUR COSMETICS,RIMMEL,0,baseline_expected_units,0.0147,1,1
52118,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.4545454545454544,1.0,1.0,1.0,weak_elasticity_uplift_restraint,DEODORANTS,WOMENS DEODORANT,0,baseline_expected_units,7.0,1,1
56032,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
90112,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.3333333333333333,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,0.0161,1,1
389404,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,2.5e-07,1.0,1.0,1.0,falling_base_launch_conflict_review,DEODORANTS,MENS DEODORANT,0,baseline_expected_units,14.0,1,1
195420,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.6470588235294118,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,0.0161,1,1
195437,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0147,0.0147,0.8235294117647058,0.2785164957171654,1.0,0.2785164957171654,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,baseline_expected_units,0.0147,1,1
93519,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.6666666666666667,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
51156,Allocation Report - SE01 SKINCARE SALES EVENT,0.0616250444880151,0.0616250444880151,0.0431375311416105,2.7999999999999994,1.0,0.699999999999999,0.699999999999999,weak_elasticity_uplift_restraint,SUNCARE,SUN PROTECTION,0,predicted_units_sold,0.0431375311416105,1,1
626503,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,2.1666666666666665,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
40357,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,1.368421052631579,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,required_implied_units,0.0315,1,1
94249,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.00805,0.02033612508410986,1.0,0.02033612508410986,weak_same_discount_and_uplift_cap,SKINCARE,NATURAL,0,required_implied_units,0.0161,1,1
188998,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.375,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
88099,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,1.6666666666666667,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,HAIRCARE,TREATMENT,0,required_implied_units,0.0161,1,1
191177,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,0.4000000000000001,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,0.0161,1,1
17553,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,0.3636363636363636,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,predicted_units_sold,0.0369457470499325,1,1
187272,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,1.25e-07,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,required_implied_units,0.0161,1,1
18699,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0021,0.0021,2.3333333333333335,0.039788070816737915,1.0,0.039788070816737915,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,0.0315,1,1
6480,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0010733333333333,0.0010733333333333,2.5e-07,0.02033612508410986,1.0,0.02033612508410986,weak_elasticity_uplift_restraint,SKINCARE,NATURAL,0,required_implied_units,0.0161,1,1
668046,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,6.25e-08,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,COLOUR COSMETICS,ESSIE,0,predicted_units_sold,0.0369457470499325,1,1
94477,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,predicted_units_sold,0.0369457470499325,1,1
190137,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,0.6,1.0,1.0,1.0,weak_elasticity_uplift_restraint,HAIRCARE,SHAMPOO CONDITIONE,0,baseline_expected_units,7.0,1,1
95494,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0527796386427607,0.75,1.0,1.0,1.0,weak_elasticity_uplift_restraint,DEODORANTS,MENS DEODORANT,0,baseline_expected_units,7.0,1,1
190090,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0184728735249662,1.4444444444444444,1.0,0.34999999999999915,0.34999999999999915,sparse_history_multi_driver_baseline_only,BEAUTY ACCESSORIES,BEAUTY TOOLS,0,predicted_units_sold,0.0184728735249662,1,1
769886,Allocation Report - SE01 SKINCARE SALES EVENT,0.0527796386427607,0.0527796386427607,0.0369457470499325,1.0666666666666669,1.0,0.7000000000000001,0.7000000000000001,weak_elasticity_uplift_restraint,SKINCARE,COSMECEUTICAL,0,predicted_units_sold,0.0369457470499325,1,1
