segment,row_count,actual_units_total,forecast_units_total,forecast_bias_units,forecast_bias_pct,wape,mae,rmse,model_beats_baseline_pct,model_beats_historical_proxy_pct,median_actual_units,median_forecast_units,p75_abs_error,p95_abs_error,baseline_wape,historical_proxy_wape,segment_row_share_pct
category=DRY SHAMPOO,286,325.0,177.16299999999998,-147.837,-45.488307692307686,0.5707353846153846,0.6485629370629371,1.1824688925372124,64.33566433566433,64.33566433566433,1.0,0.6,0.998,2.8985000000000003,1.2026215384615384,1.2026215384615384,0.5470020082241561
category=EAR CARE,25,15.0,10.652000000000001,-4.348,-28.986666666666665,0.41013333333333335,0.24608,0.5226928734926467,60.0,60.0,0.0,0.053,0.20299999999999996,1.0529999999999997,0.8977999999999999,0.8977999999999999,0.0478148608587549
category=ELF,826,362.0,278.793,-83.207,-22.985359116022096,0.5623066298342541,0.24643462469733654,0.6144671868609531,74.21307506053269,74.21307506053269,0.0,0.053,0.06699999999999995,1.0987500000000001,1.2884944751381213,1.2884944751381213,1.579803002773262
category=ESSENCE,997,970.0,815.3190000000001,-154.68099999999998,-15.946494845360823,0.5313762886597939,0.5169859578736209,1.0232214733627574,69.30792377131394,69.30792377131394,0.0,0.059,0.641,2.137999999999998,1.1958639175257733,1.1958639175257733,1.9068566510471456
category=ESSIE,485,199.0,131.88099999999997,-67.11900000000001,-33.728140703517596,0.6889698492462311,0.2826907216494845,0.6057120322227233,58.76288659793815,58.76288659793815,0.0,0.053,0.30000000000000004,1.395,1.1226180904522614,1.1226180904522614,0.927608300659845
category=EVERYDAY SKIN,1929,3846.0,1453.928,-2392.072,-62.19635985439418,0.697591263650546,1.3908429237947124,3.1305752246049474,56.143079315707624,56.143079315707624,1.0,0.472,1.533,6.272599999999996,0.8247982319292773,0.8247982319292773,3.6893946638615285
category=EYECARE PRODUCTS,71,96.0,57.00499999999998,-38.99500000000001,-40.61979166666668,0.57846875,0.7821549295774648,1.4061371068925967,59.154929577464785,59.154929577464785,1.0,0.933,0.998,3.55,1.0974583333333332,1.0974583333333332,0.13579420483886392
category=EYEWEAR,328,36.0,27.729999999999997,-8.27,-22.97222222222222,0.8267777777777776,0.09074390243902437,0.27098531820548294,14.329268292682926,14.329268292682926,0.0,0.029,0.053,0.5262999999999995,1.3425555555555555,1.3425555555555555,0.6273309744668643
category=FAM PLAN TESTS,27,9.0,9.702000000000002,0.7020000000000002,7.800000000000002,0.6322222222222221,0.21074074074074073,0.43315671614410034,59.25925925925925,59.25925925925925,0.0,0.053,0.07599999999999996,1.1940999999999997,1.8128888888888888,1.8128888888888888,0.05164004972745529
category=FASHION ACCESS,165,91.0,74.40599999999998,-16.594,-18.235164835164834,0.4949230769230769,0.27295757575757573,0.6212642535405306,41.81818181818181,41.81818181818181,0.0,0.053,0.14900000000000002,1.2538,1.0092527472527473,1.0092527472527473,0.31557808166778234
category=FEMININE HYGIENE,392,929.0,430.39200000000005,-498.60799999999995,-53.67147470398277,0.6237739504843918,1.478280612244898,2.518512820402273,66.83673469387756,66.83673469387756,2.0,0.933,2.133,5.711999999999997,0.9959128094725511,0.9959128094725511,0.7497370182652768
category=FOOT CARE,21,13.0,8.02,-4.98,-38.30769230769231,0.5853846153846154,0.36238095238095236,0.6292091786331397,80.95238095238095,80.95238095238095,0.0,0.053,0.42799999999999994,1.5,0.9610769230769232,0.9610769230769232,0.04016448312135412
category=FOOT SUPPORT,78,52.0,38.72499999999999,-13.274999999999999,-25.528846153846153,0.45801923076923085,0.3053461538461539,0.5383155470587192,76.92307692307693,76.92307692307693,0.0,0.053,0.3999999999999999,1.0921999999999996,1.1902115384615386,1.1902115384615386,0.14918236587931527
category=FOOTCARE AID,94,77.0,64.91799999999999,-12.081999999999997,-15.690909090909086,0.5095064935064934,0.4173617021276595,0.7207026565435541,64.8936170212766,64.8936170212766,1.0,0.053,0.6699999999999999,1.5796999999999988,0.9808831168831169,0.9808831168831169,0.17978387682891842
category=GENERAL MERCH,2,2.0,0.918,-1.0819999999999999,-54.099999999999994,0.5409999999999999,0.5409999999999999,0.5409999999999999,100.0,100.0,1.0,0.459,0.5409999999999999,0.5409999999999999,1.0,1.0,0.003825188868700392
category=GIFTSETS FEMALE,127,6.0,7.0009999999999994,1.0010000000000006,16.68333333333334,1.0108333333333333,0.04775590551181102,0.11610947183076364,5.511811023622047,5.511811023622047,0.0,0.018,0.029,0.053,1.1666666666666667,1.1666666666666667,0.2428994931624749
