sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
367011,Lanolips 101 O/Ment Balm 15G,REVIEW,REVIEW_STOCK_GAP,49,100.0,MODERATE,same_discount_history,15.5,4,0.057,0,66,NO,,tier_3_review_evidence_gap
27193,Lrp Anth D/T Spf50+ 50Ml,REVIEW,REVIEW_STOCK_GAP,29,94.0,MODERATE,same_discount_history,15.333,0,0.0,11,66,NO,,tier_3_review_evidence_gap
87418,Lrp Vitamin C12 Serum 30Ml,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,15.0,0,0.0,14,64,NO,,tier_3_review_evidence_gap
195445,Lrp Effaclar Duo+M 40Ml,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,15.0,0,0.0,1,64,NO,,tier_3_review_evidence_gap
799718,Rosehip By Essano Oil 45Ml,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,14.0,14,0.189,0,60,NO,,tier_3_review_evidence_gap
96617,Npmu Make Em Wndr Fdn Medium,REVIEW,REVIEW_STOCK_GAP,67,77.0,MODERATE,baseline_period_demand,14.0,12,0.182,0,54,NO,,tier_3_review_evidence_gap
199053,Npmu Wondr Stck Dual Medium,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,14.0,13,0.178,0,60,NO,,tier_3_review_evidence_gap
91058,Catr Allround Masc Ult Blk 010,REVIEW,REVIEW_STOCK_GAP,67,77.0,MODERATE,baseline_period_demand,14.0,14,0.189,0,60,NO,,tier_3_review_evidence_gap
67690,Rim Btw Pro Pncl Ash Brown,REVIEW,REVIEW_STOCK_GAP,66,62.0,CONFLICTING,baseline_period_demand,14.0,13,0.178,0,60,NO,,tier_3_review_evidence_gap
389404,Nivea Men Apd C/Kick 250Ml,REVIEW,REVIEW_STOCK_GAP,65,77.0,MODERATE,baseline_period_demand,14.0,12,0.167,0,60,NO,,tier_3_review_evidence_gap
192936,May Eye Makeup Remover 70Ml,REVIEW,REVIEW_STOCK_GAP,63,62.0,CONFLICTING,baseline_period_demand,14.0,13,0.178,0,60,NO,,tier_3_review_evidence_gap
88458,Mf Divine Lashes Rich Blk,REVIEW,REVIEW_STOCK_GAP,59,62.0,CONFLICTING,baseline_period_demand,14.0,13,0.178,0,60,NO,,tier_3_review_evidence_gap
199846,Lrp Cicaplast Mask 5Pk,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,14.0,0,0.0,11,60,NO,,tier_3_review_evidence_gap
43839,Avene Xeracalm Replen Balm 400,REVIEW,REVIEW_STOCK_GAP,63,100.0,MODERATE,same_discount_history,13.625,0,0.0,0,12,NO,,tier_3_review_evidence_gap
195051,Lrp Mela B3 Serum 30Ml,REVIEW,REVIEW_STOCK_GAP,64,100.0,MODERATE,same_discount_history,13.333,0,0.0,0,10,NO,,tier_3_review_evidence_gap
188720,Cerave Sa Smooth Cream 177Ml,REVIEW,REVIEW_STOCK_GAP,50,100.0,MODERATE,same_discount_history,13.0,10,0.152,0,56,NO,,tier_3_review_evidence_gap
188709,Cerave Moist Lotion 236Ml,REVIEW,REVIEW_STOCK_GAP,41,100.0,MODERATE,same_discount_history,13.0,0,0.0,13,56,NO,,tier_3_review_evidence_gap
