sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
193413,0.0161,0.0161,0,0,0.0010733333333333,3.3333333333333335,3.3333,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.3333333333333335,3.3172333333333337
195049,0.0252,0.0161,2,2,0.0010733333333333,3.3333333333333335,3.3333,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.3333333333333335,3.3081333333333336
63386,0.0528,0.0528,0,0,0.0,3.3333333333333335,1.0,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.3333333333333335,3.2805333333333335
94131,0.0528,0.0528,0,0,0.0,3.3333333333333335,3.3333,0.0528,LOW_NONZERO_DEMAND,low_nonzero_demand,3.3333333333333335,3.2805333333333335
193204,5.9997,5.9997,0,6,0.0104066666666666,9.272727272727272,9.2727,5.9997,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,9.272727272727272,3.273027272727272
72541,0.0161,0.0161,0,0,0.0010733333333333,3.2857142857142856,0.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.2857142857142856,3.269614285714286
189236,0.0161,0.0161,0,0,0.0010733333333333,3.260869565217391,3.2609,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.2609,3.2448
65913,0.0476,0.0476,0,0,0.0031733333333333,3.272727272727273,3.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.272727272727273,3.225127272727273
93924,0.1722,0.1722,0,0,0.01148,3.3333333333333335,0.5,0.1722,LOW_NONZERO_DEMAND,low_nonzero_demand,3.3333333333333335,3.1611333333333334
958840,0.1253,0.1253,0,0,0.0083533333333333,3.2857142857142856,3.2857,0.1253,LOW_NONZERO_DEMAND,low_nonzero_demand,3.2857142857142856,3.1604142857142854
15719,0.0315,0.0315,0,0,0.0021,3.176470588235294,3.1765,0.0315,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1765,3.145
195171,0.0476,0.0476,0,0,0.0031733333333333,3.176470588235294,0.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,3.176470588235294,3.128870588235294
193207,0.0161,0.0161,0,0,0.0010733333333333,3.136363636363636,3.1364,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,3.1364,3.1203000000000003
