promotion_row_key,realized_sales_units,sufficient_stock_demand_units_target,stock_basis_units,demand_reference_units,target_repair_basis,target_warning
772|194088|2026-02-08|2026-02-14|772-194088-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,1.0,1.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|195929|2026-02-08|2026-02-14|772-195929-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,5.0,5.0,4.0,21.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|249971|2026-02-08|2026-02-14|772-249971-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,6.0,6.0,5.0,7.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|63380|2026-02-08|2026-02-14|772-63380-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,3.0,3.0,2.0,7.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|93581|2026-02-08|2026-02-14|772-93581-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,2.0,2.0,1.0,7.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|10195|2026-02-05|2026-02-18|772-10195-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16306|2026-02-05|2026-02-18|772-16306-20260205|Allocation Report - WK32&33 BEAUTY BOX,11.0,11.0,1.0,38.5,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16316|2026-02-05|2026-02-18|772-16316-20260205|Allocation Report - WK32&33 BEAUTY BOX,5.0,5.0,3.0,28.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|16566|2026-02-05|2026-02-18|772-16566-20260205|Allocation Report - WK32&33 BEAUTY BOX,1.0,1.0,1.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|18394|2026-02-05|2026-02-18|772-18394-20260205|Allocation Report - WK32&33 BEAUTY BOX,3.0,3.0,2.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185068|2026-02-05|2026-02-18|772-185068-20260205|Allocation Report - WK32&33 BEAUTY BOX,1.0,1.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
