sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
95842,0.369,0.369,0.022,0.022,0.333,0.0475999999999999,0.0031733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.0475999999999999,0.0,anti_collapse_repair_to_1
94702,0.369,0.103,0.103,0.103,0.0,0.1,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.1,0.0,anti_collapse_repair_to_1
92705,0.369,0.103,0.103,0.103,0.0,0.6,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.6,0.0,anti_collapse_repair_to_1
189591,0.369,0.369,0.259,0.259,0.0,0.3333333333333333,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.3333333333333333,0.0,anti_collapse_repair_to_1
909084,0.369,0.369,0.259,0.259,0.0,0.1111111666666666,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1111111666666666,0.0,anti_collapse_repair_to_1
908614,0.369,0.369,0.259,0.259,0.0,5.5555555555555555e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,5.5555555555555555e-08,0.0,anti_collapse_repair_to_1
63030,0.369,0.103,0.103,0.103,0.0,0.6,0.0147,7.0,1,1,MODEL_PREDICTION,True,True,0.6,0.0,anti_collapse_repair_to_1
67912,0.369,0.008,0.008,0.008,0.113,0.5882352941176471,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,0.5882352941176471,0.0,anti_collapse_repair_to_1
2708,0.369,0.369,0.259,0.259,0.0,1.375,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1.375,0.375,anti_collapse_repair_to_1
49091,0.492,0.095,0.095,0.095,1.426,5.0,0.01358,7.0,1,1,MODEL_PREDICTION,True,True,5.0,4.0,anti_collapse_repair_to_1
87600,0.369,0.015,0.015,0.015,0.22,0.9285714285714284,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,0.9285714285714284,0.0,anti_collapse_repair_to_1
90110,0.369,0.015,0.015,0.015,0.22,1.25,0.0021,7.0,1,1,MODEL_PREDICTION,True,True,1.25,0.25,anti_collapse_repair_to_1
668020,0.369,0.369,0.259,0.259,0.0,0.4285714285714285,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.4285714285714285,0.0,anti_collapse_repair_to_1
