sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
198461,6,0,0.524,5.476,5.476,0.0
33267,9,0,0.52,8.48,8.48,0.0
10432,3,0,0.514,2.486,2.486,0.0
93920,4,0,0.5,3.5,3.5,0.0
90140,3,0,0.5,2.5,2.5,0.0
36119,3,0,0.497,2.503,2.503,0.0
33265,3,0,0.49,2.51,2.51,0.0
56157,3,0,0.49,2.51,2.51,0.0
735078,6,0,0.486,5.514,5.514,0.0
195049,0,0,0.476,0.0,0.0,0.0
88080,4,0,0.476,3.524,3.524,0.0
188861,6,0,0.476,5.524,5.524,0.0
184704,4,0,0.476,3.524,3.524,0.0
948845,10,0,0.476,9.524,9.524,0.0
521286,3,0,0.474,2.526,2.526,0.0
958840,13,0,0.469,12.531,12.531,0.0
94057,1,3,0.469,3.531,3.531,0.0
94458,4,0,0.469,3.531,3.531,0.0
200980,4,0,0.449,3.551,3.551,0.0
11035,4,0,0.449,3.551,3.551,0.0
15844,4,0,0.445,3.555,3.555,0.0
54862,6,0,0.444,5.556,5.556,0.0
60840,5,0,0.438,4.562,4.562,0.0
55245,5,0,1.714,3.286,3.286,0.0
97989,3,0,0.429,2.571,2.571,0.0
188848,3,0,0.429,2.571,2.571,0.0
192049,3,0,0.429,2.571,2.571,0.0
95868,2,3,0.429,4.571,4.571,0.0
194018,3,0,0.429,2.571,2.571,0.0
65913,4,0,0.429,3.571,3.571,0.0
34855,3,0,0.429,2.571,2.571,0.0
277772,3,0,0.429,2.571,2.571,0.0
187645,5,0,0.429,4.571,4.571,0.0
191288,10,0,0.429,9.571,9.571,0.0
386359,6,0,0.429,5.571,5.571,0.0
190839,5,0,0.429,4.571,4.571,0.0
26669,8,0,0.429,7.571,7.571,0.0
188736,4,0,0.429,3.571,3.571,0.0
94559,3,0,0.429,2.571,2.571,0.0
16857,6,0,0.429,5.571,5.571,0.0
654988,4,0,0.429,3.571,3.571,0.0
69758,3,0,0.429,2.571,2.571,0.0
96596,0,3,0.429,2.571,2.571,0.0
688711,4,0,0.429,3.571,3.571,0.0
92331,4,0,0.429,3.571,3.571,0.0
49692,1,6,0.411,6.589,6.589,0.0
92210,0,0,0.408,0.0,0.0,0.0
897272,6,0,0.397,5.603,5.603,0.0
65836,0,0,0.393,0.0,0.0,0.0
191881,5,0,0.393,4.607,4.607,0.0
396168,6,0,0.388,5.612,5.612,0.0
92213,0,0,0.388,0.0,0.0,0.0
426784,3,0,0.388,2.612,2.612,0.0
15777,5,0,0.387,4.613,4.613,0.0
190136,4,0,0.381,3.619,3.619,0.0
390860,12,0,0.381,11.619,11.619,0.0
7237,3,0,0.381,2.619,2.619,0.0
195048,0,0,0.381,0.0,0.0,0.0
655159,6,0,0.381,5.619,5.619,0.0
199839,4,0,0.381,3.619,3.619,0.0
184705,4,0,0.381,3.619,3.619,0.0
26155,4,0,0.381,3.619,3.619,0.0
195088,3,0,0.381,2.619,2.619,0.0
63369,5,0,0.375,4.625,4.625,0.0
