sku_number,predicted_promo_period_sales_units,promo_period_demand_source,promo_period_demand_warning
193205,7.818,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
186369,7.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93336,7.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93951,7.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
194048,7.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193212,7.364,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
88081,7.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
28287,7.059,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
947520,7.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90330,7.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94511,7.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
63823,7.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
463027,6.714,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
655050,6.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
31874,6.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
591904,6.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
475114,6.643,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
798169,6.625,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
491852,6.625,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
490563,6.429,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
75453,6.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188766,6.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
184706,6.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
62768,6.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188714,6.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
90374,6.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94234,6.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
483036,5.889,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195078,5.875,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193713,5.8,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
458074,5.8,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
2839,5.75,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
1485,5.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
321943,5.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
11822,5.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
193196,5.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93914,5.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
92857,5.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
390771,5.4,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
71227,5.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
698520,5.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195050,5.333,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93976,5.273,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
390941,5.214,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
41313,5.2,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
195444,5.118,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
188031,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
63415,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
49685,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
11895,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
60949,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93919,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
93916,5.0,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
396133,4.714,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
11831,4.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
688223,4.667,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
15733,4.588,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
33269,4.571,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
94457,4.571,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
688355,4.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
636886,4.5,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
346268,4.4,historical_units_same_discount_avg_fallback,promo_demand_uses_same_discount_history_fallback
