source_id,source_type,target_id,target_type,edge_type,weight
SKU:189712,SKU,PROMOTION:772|189712|2026-04-23|2026-05-06|772-189712-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,PROMOTION,IN_PROMOTION,1.0
SKU:647818,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:647818,SKU,CATEGORY:ESSENCE,CATEGORY,MEMBER_OF,1.0
SKU:647818,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:647818,SKU,PROMOTION:772|647818|2026-04-23|2026-05-06|772-647818-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,PROMOTION,IN_PROMOTION,1.0
SKU:59994,SKU,DEPARTMENT:SKINCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:59994,SKU,CATEGORY:EVERYDAY SKIN,CATEGORY,MEMBER_OF,1.0
SKU:59994,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:59994,SKU,PROMOTION:772|59994|2025-12-11|2025-12-24|772-59994-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:88124,SKU,DEPARTMENT:SKINCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:88124,SKU,CATEGORY:COSMECEUTICAL,CATEGORY,MEMBER_OF,1.0
SKU:88124,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:88124,SKU,PROMOTION:772|88124|2026-02-05|2026-02-18|772-88124-20260205|Allocation Report - WK32&33 BEAUTY BOX,PROMOTION,IN_PROMOTION,1.0
SKU:187507,SKU,DEPARTMENT:FIRSTAID WOUNDCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:187507,SKU,CATEGORY:WOUNDCARE,CATEGORY,MEMBER_OF,1.0
SKU:187507,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:187507,SKU,PROMOTION:772|187507|2026-03-24|2026-04-22|772-187507-20260324|Allocation Report - New Line 26 WK38,PROMOTION,IN_PROMOTION,1.0
SKU:647883,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:647883,SKU,CATEGORY:ESSENCE,CATEGORY,MEMBER_OF,1.0
SKU:647883,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:647883,SKU,PROMOTION:772|647883|2025-11-13|2025-11-26|772-647883-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:196324,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:196324,SKU,CATEGORY:TREATMENT,CATEGORY,MEMBER_OF,1.0
SKU:196324,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:196324,SKU,PROMOTION:772|196324|2025-11-25|2025-12-01|772-196324-20251125|Allocation Report - SE4 BLACK (PINK) FRIDAY,PROMOTION,IN_PROMOTION,1.0
SKU:285455,SKU,DEPARTMENT:EYES EARS,DEPARTMENT,MEMBER_OF,1.0
SKU:285455,SKU,CATEGORY:EYEWEAR,CATEGORY,MEMBER_OF,1.0
SKU:285455,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:285455,SKU,PROMOTION:772|285455|2025-11-13|2025-11-26|772-285455-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:199183,SKU,DEPARTMENT:MENS GROOMING,DEPARTMENT,MEMBER_OF,1.0
SKU:199183,SKU,CATEGORY:MENS HAIRCARE,CATEGORY,MEMBER_OF,1.0
SKU:199183,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:199183,SKU,PROMOTION:772|199183|2025-12-11|2025-12-24|772-199183-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:198973,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:198973,SKU,CATEGORY:LOREAL,CATEGORY,MEMBER_OF,1.0
SKU:198973,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:198973,SKU,PROMOTION:772|198973|2025-11-13|2025-11-26|772-198973-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:97868,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:97868,SKU,CATEGORY:COLOURANTS,CATEGORY,MEMBER_OF,1.0
SKU:97868,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:97868,SKU,PROMOTION:772|97868|2026-03-24|2026-04-22|772-97868-20260324|Allocation Report - New Line 26 WK38,PROMOTION,IN_PROMOTION,1.0
SKU:483699,SKU,DEPARTMENT:SKINCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:483699,SKU,CATEGORY:NATURAL,CATEGORY,MEMBER_OF,1.0
SKU:483699,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:483699,SKU,PROMOTION:772|483699|2025-12-11|2025-12-24|772-483699-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:187620,SKU,DEPARTMENT:VITAMIN SUPPLEMENT,DEPARTMENT,MEMBER_OF,1.0
SKU:187620,SKU,CATEGORY:PHYS ACTIVITY SUPP,CATEGORY,MEMBER_OF,1.0
SKU:187620,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:187620,SKU,PROMOTION:772|187620|2025-12-02|2025-12-10|772-187620-20251202|Allocation Report - WK23 CHRISTMAS PART 3,PROMOTION,IN_PROMOTION,1.0
SKU:39309,SKU,DEPARTMENT:VITAMIN SUPPLEMENT,DEPARTMENT,MEMBER_OF,1.0
SKU:39309,SKU,CATEGORY:WOMENS HEALTH SUPP,CATEGORY,MEMBER_OF,1.0
SKU:39309,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:39309,SKU,PROMOTION:772|39309|2026-02-19|2026-03-04|772-39309-20260219|Allocation Report - WK34&35 AUTUMN PART 1,PROMOTION,IN_PROMOTION,1.0
SKU:192519,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:192519,SKU,CATEGORY:THE QUICK FLICK,CATEGORY,MEMBER_OF,1.0
SKU:192519,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:192519,SKU,PROMOTION:772|192519|2026-04-09|2026-04-22|772-192519-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:94702,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:94702,SKU,CATEGORY:RIMMEL,CATEGORY,MEMBER_OF,1.0
SKU:94702,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:94702,SKU,PROMOTION:772|94702|2026-02-19|2026-03-04|772-94702-20260219|Allocation Report - WK34&35 AUTUMN PART 1,PROMOTION,IN_PROMOTION,1.0
SKU:91013,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:91013,SKU,CATEGORY:CATRICE,CATEGORY,MEMBER_OF,1.0
SKU:91013,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:91013,SKU,PROMOTION:772|91013|2025-12-02|2025-12-10|772-91013-20251202|Allocation Report - WK23 CHRISTMAS PART 3,PROMOTION,IN_PROMOTION,1.0
SKU:93849,SKU,DEPARTMENT:FRAGRANCE,DEPARTMENT,MEMBER_OF,1.0
SKU:93849,SKU,CATEGORY:SINGLES FEMALE,CATEGORY,MEMBER_OF,1.0
SKU:93849,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:93849,SKU,PROMOTION:772|93849|2026-01-15|2026-01-21|772-93849-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,PROMOTION,IN_PROMOTION,1.0
SKU:493502,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:493502,SKU,CATEGORY:COLOURANTS,CATEGORY,MEMBER_OF,1.0
SKU:493502,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:493502,SKU,PROMOTION:772|493502|2026-02-19|2026-03-04|772-493502-20260219|Allocation Report - WK34&35 AUTUMN PART 1,PROMOTION,IN_PROMOTION,1.0
SKU:94001,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:94001,SKU,CATEGORY:MAYBELLINE,CATEGORY,MEMBER_OF,1.0
SKU:94001,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:94001,SKU,PROMOTION:772|94001|2025-12-01|2025-12-13|772-94001-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,PROMOTION,IN_PROMOTION,1.0
SKU:21097,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:21097,SKU,CATEGORY:DRY SHAMPOO,CATEGORY,MEMBER_OF,1.0
SKU:21097,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:21097,SKU,PROMOTION:772|21097|2025-12-11|2025-12-24|772-21097-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:195523,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:195523,SKU,CATEGORY:MAX FACTOR,CATEGORY,MEMBER_OF,1.0
SKU:195523,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:195523,SKU,PROMOTION:772|195523|2026-02-19|2026-03-04|772-195523-20260219|Allocation Report - WK34&35 AUTUMN PART 1,PROMOTION,IN_PROMOTION,1.0
SKU:365033,SKU,DEPARTMENT:BATH TOILETRIES,DEPARTMENT,MEMBER_OF,1.0
SKU:365033,SKU,CATEGORY:PERSONAL WASH,CATEGORY,MEMBER_OF,1.0
SKU:365033,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:365033,SKU,PROMOTION:772|365033|2026-04-23|2026-05-06|772-365033-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,PROMOTION,IN_PROMOTION,1.0
SKU:58664,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:58664,SKU,CATEGORY:NATIO,CATEGORY,MEMBER_OF,1.0
SKU:58664,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:58664,SKU,PROMOTION:772|58664|2026-01-15|2026-01-21|772-58664-20260115|Allocation Report - SE6 SKINCARE CATEGORY SALES EVENT,PROMOTION,IN_PROMOTION,1.0
SKU:24420,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:24420,SKU,CATEGORY:MAYBELLINE,CATEGORY,MEMBER_OF,1.0
SKU:24420,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:24420,SKU,PROMOTION:772|24420|2026-03-19|2026-03-25|772-24420-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,PROMOTION,IN_PROMOTION,1.0
SKU:90170,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:90170,SKU,CATEGORY:NYX,CATEGORY,MEMBER_OF,1.0
SKU:90170,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:90170,SKU,PROMOTION:772|90170|2026-03-19|2026-03-25|772-90170-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,PROMOTION,IN_PROMOTION,1.0
SKU:192581,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
