promotion_row_key,sku_number,sku_description,promo_type,legacy_expected_demand,expected_promo_demand,final_order_units,legacy_order_units,stock_basis_units,demand_reference_units,realized_sales_units,target_quality_label,target_repair_basis,target_weight,buy_change,raw_stock_gap_units,pack_size,action_reason_short,over_stock_basis
772|188969|2026-02-19|2026-03-04|772-188969-20260219|Allocation Report - WK34&35 AUTUMN PART 1,188969,Sukin Act Brighten Serum 25Ml,normal catalogue,1.6401857397788746,4.048468807857301,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|188402|2026-02-19|2026-03-04|772-188402-20260219|Allocation Report - WK34&35 AUTUMN PART 1,188402,Natio For Men Travel Set,normal catalogue,0.07229662920215382,0.7902142910771762,6,6,1.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|188146|2026-02-19|2026-03-04|772-188146-20260219|Allocation Report - WK34&35 AUTUMN PART 1,188146,Nivea Sun Face Spf50 Sens 50Ml,normal catalogue,1.923260665344723,3.5584587963392496,6,6,6.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|190078|2026-02-19|2026-03-04|772-190078-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190078,Pl Toenail Clipper,normal catalogue,1.9774360124115464,4.496988787881202,6,0,5.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190084|2026-02-19|2026-03-04|772-190084-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190084,Pl Blackhead Remover,normal catalogue,0.009415393978570226,4.137287788722468,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|98106|2026-03-24|2026-04-22|772-98106-20260324|Allocation Report - New Line 26 WK38,98106,Batiste Hint Of Col Blond D-Sp,newlines,0.013913954866543211,1.0638881609442992,6,6,6.0,12.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,3,6.0,STOCK_GAP_ORDER,0
772|190078|2026-03-26|2026-04-08|772-190078-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190078,Pl Toenail Clipper,normal catalogue,0.0,4.1393970264819435,6,0,5.0,17.5,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190113|2026-02-19|2026-03-04|772-190113-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190113,E/Pure Exfoliating Body Mitt,normal catalogue,1.6248364464459721,4.279339641888764,6,0,5.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190114|2026-02-19|2026-03-04|772-190114-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190114,E/Pure Massaging Body Brush,normal catalogue,1.153425329251199,4.070225734213785,6,0,4.0,14.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190119|2026-02-19|2026-03-04|772-190119-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190119,E/Pure Natural Loofah,normal catalogue,1.7569501477922154,4.476659463795251,6,0,4.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190064|2026-02-19|2026-03-04|772-190064-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190064,Pl Cosmetic Sponge Wedges 36Pk,normal catalogue,1.6248364464459721,3.116404892146349,6,6,2.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
