sku_number,raw_model_order_units,target_order_units_to_hit_day_one_soh,current_recommended_order_units,proposed_commercial_recommended_order_units,raw_model_to_target_ratio,confidence_score,data_quality_score,promo_period_demand_source,proposed_order_policy
184706,0,31,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188852,0,30,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
62768,0,30,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188714,0,28,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90374,0,30,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94234,0,25,0,0,0.0,22,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
483036,0,26,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
252999,0,22,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195078,0,22,0,0,0.0,22,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
194887,0,29,0,0,0.0,50,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193713,0,27,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
458074,0,28,0,0,0.0,22,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
2839,0,28,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94286,0,23,0,0,0.0,72,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
57419,0,22,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
192218,0,29,0,0,0.0,31,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
1485,0,22,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
321943,0,26,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
94039,0,29,0,0,0.0,25,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
55054,0,28,0,0,0.0,50,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
1236,0,28,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
247596,0,23,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
610055,0,14,0,0,0.0,51,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
11822,0,22,0,0,0.0,36,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193196,0,27,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93914,0,16,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
92857,0,23,0,0,0.0,24,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
390771,0,22,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
198638,0,21,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
24553,0,25,0,0,0.0,57,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
71227,0,20,0,0,0.0,44,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
698520,0,23,0,0,0.0,34,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195050,0,24,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
15736,0,18,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
93976,0,25,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
390941,0,24,0,0,0.0,32,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
41313,0,21,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
195444,0,23,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
733008,0,25,0,0,0.0,49,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
92632,24,130,24,24,0.185,58,68.0,historical_units_same_discount_avg_fallback,target_stock_review_range
49091,0,12,0,0,0.0,62,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
372722,0,24,0,0,0.0,57,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
191888,0,26,0,0,0.0,56,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
49093,0,8,0,0,0.0,48,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
188031,0,24,0,0,0.0,42,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
63415,0,21,0,0,0.0,41,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
49685,0,12,0,0,0.0,39,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
11895,0,21,0,0,0.0,35,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
60949,0,19,0,0,0.0,32,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
93919,0,22,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93916,0,22,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
93338,0,25,0,0,0.0,25,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90766,0,25,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
24383,0,22,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
37986,0,3,0,0,0.0,58,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
63821,0,24,0,0,0.0,23,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
396133,0,21,0,0,0.0,27,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
11831,0,14,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
688223,0,21,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
15733,0,22,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
33269,0,13,0,0,0.0,30,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
94457,0,21,0,0,0.0,23,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
60948,0,5,0,0,0.0,65,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
192205,0,17,0,0,0.0,64,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
90139,0,22,0,0,0.0,43,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
96593,0,22,0,0,0.0,40,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
688355,0,15,0,0,0.0,33,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
636886,0,17,0,0,0.0,29,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
96594,0,22,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
346268,0,19,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
43840,0,12,0,0,0.0,63,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
94132,2,23,2,2,0.087,41,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
186358,0,16,0,0,0.0,34,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
65557,0,16,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
61548,0,21,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
431699,0,22,0,0,0.0,26,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
22904,0,21,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
188737,0,22,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
90840,0,22,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
458104,0,21,0,0,0.0,23,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
56278,0,16,0,0,0.0,23,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
192837,0,14,0,0,0.0,57,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
94058,0,21,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
33264,0,17,0,0,0.0,23,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
304956,0,17,0,0,0.0,23,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
206431,0,20,0,0,0.0,66,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
193714,0,20,0,0,0.0,26,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
191661,0,16,0,0,0.0,62,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
191663,0,20,0,0,0.0,25,80.0,historical_units_same_discount_avg_fallback,target_stock_review_range
191948,0,20,0,0,0.0,24,86.0,historical_units_same_discount_avg_fallback,target_stock_review_range
984248,0,19,0,0,0.0,28,80.0,historical_units_same_discount_avg_fallback,raw_model_constrained
94130,0,19,0,0,0.0,62,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
195115,0,13,0,0,0.0,59,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
90331,0,11,0,0,0.0,59,86.0,historical_units_same_discount_avg_fallback,raw_model_constrained
