sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
90374,Blistex U/Lip Balm Spf50+4.25G,6.0,25.714,31.714,0.189,0.811,30,0,30,promo_cover_gap
94234,Cerave Blemish Patches,6.0,25.714,31.714,0.189,0.811,25,0,25,base_stock_gap
483036,Garn Micellar Solution 400Ml,5.889,25.238,31.127,0.189,0.811,26,0,26,base_stock_gap
252999,Garn C&S W/P Emur 200Ml,5.875,25.179,31.054,0.189,0.811,22,0,22,base_stock_gap
195078,Garn Vit C Eye Mask,5.875,25.179,31.054,0.189,0.811,22,0,22,base_stock_gap
194887,Benzac Power Patch 24Pack,5.833,25.0,30.833,0.189,0.811,29,0,29,promo_cover_gap
193713,No7 Future Renew Nght Crm 50Ml,5.8,24.857,30.657,0.189,0.811,28,0,28,promo_cover_gap
458074,Cetaphil Moisturising Crm 100G,5.8,24.857,30.657,0.189,0.811,29,0,29,promo_cover_gap
2839,Nivea D/E Db/Eff Emur 125Ml,5.75,24.643,30.393,0.189,0.811,29,0,29,promo_cover_gap
94286,Bioderma Snsbio Sos Spray 70Ml,5.667,24.286,29.953,0.189,0.811,23,0,23,base_stock_gap
57419,Weleda Skin Food 75Ml,5.667,24.286,29.953,0.189,0.811,22,0,22,base_stock_gap
192218,Lrp Anthelios Ka+ Spf50+ 50Ml,5.667,24.286,29.953,0.189,0.811,28,0,28,promo_cover_gap
1485,Neut H/B Mask X5,5.667,24.286,29.953,0.189,0.811,22,0,22,base_stock_gap
321943,Neut Bod Oil 250Ml,5.667,24.286,29.953,0.189,0.811,25,0,25,base_stock_gap
94039,No7 Retinol Hand Crm 75Ml,5.667,24.286,29.953,0.189,0.811,28,0,28,promo_cover_gap
55054,May Hyper Easy Eye Liner Black,5.565,23.851,29.416,0.189,0.811,28,0,28,promo_cover_gap
1236,May Hyper Sharp Wing Liner Blk,5.522,23.664,29.186,0.189,0.811,28,0,28,promo_cover_gap
247596,Bio Oil 200Ml,5.5,23.571,29.071,0.189,0.811,23,0,23,base_stock_gap
610055,Bondi Sands App Mitt 1 Each,5.5,23.571,29.071,0.189,0.811,14,0,14,base_stock_gap
11822,Lanolips Tint Balm Nude 12.5G,5.5,23.571,29.071,0.189,0.811,22,0,22,base_stock_gap
193196,May Lash Sensational Intns Blk,5.5,23.571,29.071,0.189,0.811,27,0,27,promo_cover_gap
93914,Fraim Satin Skn Scrunchies 6Pk,5.5,23.571,29.071,0.189,0.811,16,0,16,base_stock_gap
92857,Og Rosemry Hair&Sclp 100Ml,5.5,23.571,29.071,0.189,0.811,23,0,23,base_stock_gap
390771,U By Kotex Ut Super Wing 12,5.4,23.143,28.543,0.189,0.811,22,0,22,base_stock_gap
198638,Avene Serum Spf 50+ 30Ml,5.375,23.036,28.411,0.189,0.811,21,0,21,base_stock_gap
24553,Jojoba Australian Jojoba 85Ml,5.333,22.857,28.19,0.189,0.811,25,0,25,base_stock_gap
71227,Lrp Tol Derm Fluid 40Ml,5.333,22.857,28.19,0.189,0.811,20,0,20,base_stock_gap
698520,Bioderma Sensibio H20 250Ml,5.333,22.857,28.19,0.189,0.811,23,0,23,base_stock_gap
195050,Lrp Refill Eff Fm Clnsr 400Ml,5.333,22.857,28.19,0.189,0.811,24,0,24,base_stock_gap
15736,Npmu Eb Pencil Micro Espres,5.294,22.689,27.983,0.189,0.811,18,0,18,base_stock_gap
93976,May Fstudio Grip Serm Prim Int,5.273,22.597,27.87,0.189,0.811,25,0,25,base_stock_gap
390941,U By Kotex Liner Design Prot30,5.214,22.347,27.561,0.189,0.811,24,0,24,base_stock_gap
41313,Rexona W Clin R/O Summer 50Ml,5.2,22.286,27.486,0.189,0.811,21,0,21,base_stock_gap
195444,Npmu Marshmellow Set Spray,5.118,21.933,27.051,0.189,0.811,23,0,23,base_stock_gap
733008,Cetaphil Moisturising Crm 550G,5.111,21.905,27.016,0.189,0.811,25,0,25,promo_cover_gap
92632,Avene Cica+ Mlt P&R Crm Spf50+,5.0,128.571,133.571,0.037,0.963,130,24,106,base_stock_gap
49091,Garn H/Bomb Mask Green Tea,5.0,21.429,26.429,0.189,0.811,12,0,12,base_stock_gap
372722,Ego Qv Intens Cleanser 1Kg,5.0,21.429,26.429,0.189,0.811,24,0,24,promo_cover_gap
191888,G/Mane Heat Protectant 150Ml,5.0,21.429,26.429,0.189,0.811,26,0,26,promo_cover_gap
49093,Garn H/Bomb Mask Pomegranate,5.0,21.429,26.429,0.189,0.811,8,0,8,base_stock_gap
