sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
688711,0.428571,56,3.0,3.0,0.0,3.0,
192760,0.428571,56,3.0,3.0,0.0,3.0,
92331,0.428571,56,3.0,3.0,0.0,3.0,
191950,0.410714,56,2.875,2.875,0.0,2.875,
553586,0.410714,56,2.875,2.875,0.0,2.875,
49692,0.410714,56,2.875,2.875,0.0,2.875,
9159,0.409943,56,2.87,2.87,0.0,2.87,
185193,0.409529,56,2.867,2.867,0.0,2.867,
184851,0.408157,56,2.857,2.857,0.0,2.857,
198650,0.408157,56,2.857,2.857,0.0,2.857,
40356,0.408157,56,2.857,2.857,0.0,2.857,
92210,0.408157,56,2.857,2.857,0.0,2.857,
64711,0.408157,56,2.857,2.857,0.0,2.857,
70358,0.403357,56,2.823,2.824,0.0,2.824,
192619,0.4026,56,2.818,2.818,0.0,2.818,
51156,0.4,56,2.8,2.8,0.0,2.8,
26779,0.4,56,2.8,2.8,0.0,2.8,
807680,0.4,56,2.8,2.8,0.0,2.8,
366773,0.396829,56,2.778,2.778,0.0,2.778,
897272,0.396829,56,2.778,2.778,0.0,2.778,
11833,0.392857,56,2.75,2.75,0.0,2.75,
65467,0.392857,56,2.75,2.75,0.0,2.75,
65836,0.392857,56,2.75,2.75,0.0,2.75,
16306,0.392857,56,2.75,2.75,0.0,2.75,
191881,0.392857,56,2.75,2.75,0.0,2.75,
93466,0.392857,56,2.75,2.75,0.0,2.75,
88551,0.390471,56,2.733,2.733,0.0,2.733,
958859,0.387757,56,2.714,2.714,0.0,2.714,
396168,0.387757,56,2.714,2.714,0.0,2.714,
94078,0.387757,56,2.714,2.714,0.0,2.714,
92213,0.387757,56,2.714,2.714,0.0,2.714,
426784,0.387757,56,2.714,2.714,0.0,2.714,
15777,0.386557,56,2.706,2.706,0.0,2.706,
690783,0.380957,56,2.667,2.667,0.0,2.667,
199904,0.380957,56,2.667,2.667,0.0,2.667,
626309,0.380957,56,2.667,2.667,0.0,2.667,
199903,0.380957,56,2.667,2.667,0.0,2.667,
5909,0.380957,56,2.667,2.667,0.0,2.667,
190136,0.380957,56,2.667,2.667,0.0,2.667,
390860,0.380957,56,2.667,2.667,0.0,2.667,
7237,0.380957,56,2.667,2.667,0.0,2.667,
195048,0.380957,56,2.667,2.667,0.0,2.667,
655159,0.380957,56,2.667,2.667,0.0,2.667,
199839,0.380957,56,2.667,2.667,0.0,2.667,
184705,0.380957,56,2.667,2.667,0.0,2.667,
42784,0.380957,56,2.667,2.667,0.0,2.667,
26155,0.380957,56,2.667,2.667,0.0,2.667,
195088,0.380957,56,2.667,2.667,0.0,2.667,
49092,0.375,56,2.625,2.625,0.0,2.625,
63369,0.375,56,2.625,2.625,0.0,2.625,
651836,0.373629,56,2.615,2.615,0.0,2.615,
199901,0.371429,56,2.6,2.6,0.0,2.6,
92633,0.371429,56,2.6,2.6,0.0,2.6,
26780,0.371429,56,2.6,2.6,0.0,2.6,
189237,0.370129,56,2.591,2.591,0.0,2.591,
24382,0.366457,56,2.565,2.565,0.0,2.565,
234915,0.366457,56,2.565,2.565,0.0,2.565,
67986,0.365086,56,2.556,2.556,0.0,2.556,
67581,0.3619,56,2.533,2.533,0.0,2.533,
24384,0.360243,56,2.522,2.522,0.0,2.522,
26154,1.0,56,7.0,2.5,0.0,2.5,
521302,0.357143,56,2.5,2.5,0.0,2.5,
