sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
521286,15,0,15,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
958840,5,0,5,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94057,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
94458,14,0,14,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
70394,31,7,24,0.226,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
200980,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
11035,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
189514,32,7,25,0.219,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
15844,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
54862,11,0,11,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
60840,12,0,12,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
55245,51,10,41,0.196,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
189239,29,7,22,0.241,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97989,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
188848,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
192049,13,0,13,0.0,REVIEW,REVIEW,NO_ORDER_REQUIRED,insufficient_demand_evidence
