segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
category=MENS HAIRCARE,legacy_placeholder_detected,117,0.259,0.2238
category=MENS HAIRCARE,missing_baseline_daily_units,7,0.0155,0.0134
category=MENS SHAVING AIDS,legacy_placeholder_detected,169,0.3742,0.3232
category=MENS SHAVING AIDS,missing_baseline_daily_units,11,0.0244,0.021
category=MENS SKINCARE,actuals_censored_by_stockout,1,0.0022,0.0019
category=MENS SKINCARE,legacy_placeholder_detected,122,0.2701,0.2333
category=MENS SKINCARE,missing_baseline_daily_units,2,0.0044,0.0038
category=MILANI,actuals_censored_by_stockout,3,0.0066,0.0057
category=MILANI,legacy_placeholder_detected,255,0.5646,0.4877
category=MILANI,missing_baseline_daily_units,4,0.0089,0.0077
category=MIND BODY BAL SUPP,actuals_censored_by_stockout,1,0.0022,0.0019
category=MIND BODY BAL SUPP,legacy_placeholder_detected,201,0.445,0.3844
category=MIND BODY BAL SUPP,missing_baseline_daily_units,10,0.0221,0.0191
category=MIXTURES LIQ,legacy_placeholder_detected,31,0.0686,0.0593
category=MIXTURES LIQ,missing_baseline_daily_units,3,0.0066,0.0057
category=MOTHER CARE,legacy_placeholder_detected,17,0.0376,0.0325
category=MOUTH WASHES,actuals_censored_by_stockout,2,0.0044,0.0038
category=MOUTH WASHES,legacy_placeholder_detected,64,0.1417,0.1224
category=MOUTH WASHES,missing_baseline_daily_units,7,0.0155,0.0134
category=NATIO,legacy_placeholder_detected,1835,4.0626,3.5096
category=NATIO,missing_baseline_daily_units,23,0.0509,0.044
category=NATURAL,actuals_censored_by_stockout,49,0.1085,0.0937
category=NATURAL,legacy_placeholder_detected,948,2.0988,1.8131
category=NATURAL,missing_baseline_daily_units,33,0.0731,0.0631
category=NATURAL DEODORANT,legacy_placeholder_detected,15,0.0332,0.0287
category=NATURAL DEODORANT,missing_baseline_daily_units,3,0.0066,0.0057
category=NUDE BY NATURE,actuals_censored_by_stockout,1,0.0022,0.0019
category=NUDE BY NATURE,legacy_placeholder_detected,667,1.4767,1.2757
category=NUDE BY NATURE,missing_baseline_daily_units,6,0.0133,0.0115
category=NUTRITION SUPPS,actuals_censored_by_stockout,1,0.0022,0.0019
category=NUTRITION SUPPS,legacy_placeholder_detected,11,0.0244,0.021
category=NYX,actuals_censored_by_stockout,22,0.0487,0.0421
category=NYX,legacy_placeholder_detected,1656,3.6663,3.1673
category=NYX,missing_baseline_daily_units,24,0.0531,0.0459
category=OPALLAC,actuals_censored_by_stockout,1,0.0022,0.0019
category=OPALLAC,legacy_placeholder_detected,126,0.279,0.241
category=OPALLAC,missing_baseline_daily_units,2,0.0044,0.0038
category=ORAL ELECTRICAL,actuals_censored_by_stockout,10,0.0221,0.0191
category=ORAL ELECTRICAL,legacy_placeholder_detected,171,0.3786,0.3271
category=ORAL ELECTRICAL,missing_baseline_daily_units,11,0.0244,0.021
category=PAIN LIQUIDS,legacy_placeholder_detected,27,0.0598,0.0516
category=PAIN TABS CAPS,actuals_censored_by_stockout,5,0.0111,0.0096
category=PAIN TABS CAPS,legacy_placeholder_detected,38,0.0841,0.0727
category=PAIN TABS CAPS,missing_baseline_daily_units,9,0.0199,0.0172
category=PAPER PRODUCTS,actuals_censored_by_stockout,1,0.0022,0.0019
category=PAPER PRODUCTS,legacy_placeholder_detected,7,0.0155,0.0134
category=PAPER PRODUCTS,missing_baseline_daily_units,3,0.0066,0.0057
category=PERSONAL WASH,actuals_censored_by_stockout,13,0.0288,0.0249
category=PERSONAL WASH,legacy_placeholder_detected,389,0.8612,0.744
category=PERSONAL WASH,missing_baseline_daily_units,25,0.0553,0.0478
category=PHYS ACTIVITY SUPP,actuals_censored_by_stockout,6,0.0133,0.0115
category=PHYS ACTIVITY SUPP,legacy_placeholder_detected,375,0.8302,0.7172
category=PHYS ACTIVITY SUPP,missing_baseline_daily_units,15,0.0332,0.0287
category=REMOVAL WAX CREAM,actuals_censored_by_stockout,3,0.0066,0.0057
