segment,row_count,start_soh_compliance_rate,end_stock_success_rate,missed_demand_risk_count,overstocked_count,clean_exit_count,controlled_residual_count,unobservable_demand_count,cash_tied_up_units,cash_tied_up_cost_proxy,days_cover_p95,supplier_99999_success_rate,long_lead_supplier_success_rate,estimated_missed_sales_units,estimated_leftover_units,economic_value_proxy
department=FEMININE CARE,392,60.71428571428571,21.683673469387756,131,25,6,79,151,2566.88,12372.362,84.0,,21.683673469387756,0.8400000000000001,2566.88,-11632.743999999999
department=FIRSTAID WOUNDCARE,198,48.98989898989899,21.71717171717172,49,6,2,41,100,770.3800000000001,3713.2300000000005,86.51999999999961,,21.71717171717172,0.0,770.3800000000001,-3300.76
department=FOOTCARE,193,22.797927461139896,5.699481865284974,30,6,8,3,146,497.9,2399.878,161.56599999999978,,5.699481865284974,0.06,497.9,-1777.692
department=FRAGRANCE,2002,6.093906093906094,5.394605394605394,77,26,71,37,1791,4186.8,20180.375999999997,117.36464999999897,,5.394605394605394,0.3,4186.8,-12462.314999999999
department=GENERAL MERCHANDIS,2,0.0,0.0,0,0,0,0,2,2.0,9.64,0.0,,0.0,0.0,2.0,-0.35000000000000003
department=GIFTING,355,12.394366197183098,7.042253521126761,19,1,1,24,310,858.0,4135.5599999999995,77.4543000000001,,7.042253521126761,0.0,858.0,-3437.2000000000007
department=HAIR ACC BRUSHES,781,43.02176696542894,8.578745198463508,216,61,19,48,437,2608.32,12572.102000000003,106.648,,8.578745198463508,1.2200000000000002,2608.32,-8065.643
department=HAIR REMOVAL,488,27.25409836065574,8.60655737704918,80,24,21,21,342,1324.62,6384.668,109.54999999999984,,8.60655737704918,0.08,1324.62,-4877.294
department=HAIRCARE,4705,26.099893730074392,7.417640807651435,848,204,105,244,3304,14177.78,68336.899,155.93780000000007,,7.417640807651435,12.64,14177.78,-46383.234000000004
department=HOME HEALTH,1,100.0,100.0,0,0,0,1,0,3.0,14.46,0.0,,100.0,0.0,3.0,-14.46
department=INCONTINENCE,184,28.26086956521739,2.1739130434782608,38,11,0,4,131,575.9200000000001,2775.934,221.89999999999992,,2.1739130434782608,0.08,575.9200000000001,-2515.589
department=INSOMNIA,2,50.0,50.0,0,0,1,0,1,4.0,19.28,0.0,,50.0,0.0,4.0,-13.89
department=MENS GROOMING,583,11.149228130360205,3.430531732418525,40,17,5,15,506,1470.96,7090.027000000001,140.0,,3.430531732418525,0.04,1470.96,-6186.761
department=NUTRITION WELLBEIN,111,13.513513513513514,5.405405405405405,13,4,3,3,88,251.96,1214.4470000000006,126.126,,5.405405405405405,0.04,251.96,-864.107
department=ORAL HEALTH,1225,45.87755102040816,9.46938775510204,391,83,53,63,635,4979.02,23998.876,90.0,,9.46938775510204,2.8800000000000003,4979.02,-17159.602
