segment,row_count,actual_units_total,forecast_units_total,bias_units,bias_pct,wape,mae,rmse,p75_abs_error,p95_abs_error,model_beats_baseline_pct,estimated_missed_sales_units,estimated_leftover_units
category=WOMENS HEALTH SUPP,251,143.0,115.548506,-27.451493999999997,-19.19684895104895,0.6139083356643357,0.34975654183266935,0.7957038471204816,0.29680799999999996,1.703192,56.573705179282875,115.0,49.0
category=WOMENS SHAVING AID,267,213.0,212.887347,-0.11265299999999723,-0.052888732394364896,0.5883321361502347,0.46934361423220977,0.817266715414126,0.7186805,1.8872905999999983,63.29588014981273,159.0,150.0
category=WOUNDCARE,190,260.0,225.24921,-34.750789999999995,-13.365688461538461,0.5186506461538462,0.7097324631578947,1.418428260199355,0.8654027500000001,3.104437349999997,53.1578947368421,153.0,159.0
discount_depth_band=0-10,52271,48839.0,36440.619422,-12398.380578000002,-25.38622940273143,0.6704659498351727,0.6264446160203555,3.3362047636681362,0.56561,2.38004,60.80235694744695,34753.0,15719.0
discount_depth_band=0.0,14,16.0,14.02164,-1.9783599999999997,-12.364749999999997,0.7873045,0.8997765714285714,2.0596787165389934,0.6007157500000001,3.660263699999998,35.714285714285715,13.0,6.0
promo_duration_band=long,3227,3118.0,3042.099511,-75.900489,-2.4342684092366897,0.540928973380372,0.5226577437248219,1.2742753270270393,0.7123679999999999,2.0408355999999985,55.25255655407499,2154.0,1835.0
promo_duration_band=standard,37645,33117.0,28074.822424,-5042.177576000001,-15.22534521846786,0.6415214644442431,0.5643582504449461,2.3472837861910265,0.6168939999999998,2.33244,60.91114357816443,24289.0,11366.0
promo_duration_band=week,11413,12620.0,5337.719127,-7282.280873,-57.70428583993661,0.7785737336767036,0.8609130394287215,5.687587742404299,0.345376,2.8325,61.98195040743012,8323.0,2524.0
baseline_demand_band=high,107,1890.0,1028.912377,-861.087623,-45.560191693121695,0.6601077306878306,11.659846831775699,28.177715899646376,10.220968,36.929153199999924,72.89719626168224,663.0,355.0
baseline_demand_band=low,4751,10659.0,8056.699198,-2602.300802,-24.414117665822314,0.6363469717609531,1.4276620442012207,3.4028850889162063,1.6626690000000002,4.8811040000000006,67.62786781730162,6623.0,3995.0
